Frame, cxs, cys, ws, hs, areas
2185,392.56330460687303,171.72773699329716,81.0,66.0,3133.0
2186,388.78080872913995,170.93094779632005,79.0,68.0,3116.0
2187,384.7578297072253,170.24211657265644,79.0,71.0,3102.5
2188,380.47759634944197,170.69811424487327,79.0,69.0,3031.5
2189,375.8172919142194,171.70333276749844,79.0,57.0,2945.5
2190,371.8389146772767,170.25386825817858,79.0,64.0,3016.0
2191,367.50580349844694,169.61680562367172,80.0,65.0,3058.5
2192,363.6398122373232,168.97412804977895,79.0,65.0,3053.5
2193,359.6821378340365,168.3652493779076,79.0,66.0,3081.0
2194,355.82921102921097,168.05389025389024,79.0,64.0,3052.5
2195,351.6777187617361,167.15193948173186,80.0,68.0,3106.5
2196,347.7491365109729,166.1256177267655,78.0,71.0,3136.5
2197,343.73320788249436,165.751136898228,78.0,72.0,3188.5
2198,339.7210517978774,165.19277680975765,78.0,72.0,3156.5
2199,335.4666875685844,164.67936458170036,79.0,72.0,3189.5
2200,331.72520889169164,164.37547953124178,78.0,72.0,3171.5
2201,327.6786408276876,164.43096476025417,78.0,72.0,3173.5
2202,323.7428206764518,164.12598383322697,78.0,72.0,3134.0
2203,319.61312108055955,163.91804684568794,78.0,71.0,3109.5
2204,315.6788368336026,163.59208400646204,78.0,72.0,3095.0
2205,311.69045317869416,163.4933956185567,78.0,72.0,3104.0
2206,307.76175668303324,163.0836879432624,78.0,71.0,3055.0
2207,303.7001644736842,162.9421600877193,77.0,71.0,3040.0
2208,299.7843202483921,162.61454868041693,76.0,70.0,3006.0
2209,295.9887278582931,162.55055805430618,77.0,70.0,3001.5
2210,292.19138299067515,162.22879451746994,76.0,70.0,2967.0
2211,288.1869918699187,161.95709123757905,76.0,70.0,2952.0
2212,284.27056610227464,161.6186078330768,75.0,69.0,2923.5
2213,280.3262939241821,161.60821649068143,75.0,70.0,2888.5
2214,276.6972991932655,161.46433999766163,75.0,70.0,2851.0
2215,272.7058510638298,161.58073286052007,73.0,69.0,2820.0
2216,268.9801710023649,161.7581104845067,72.0,67.0,2748.5
2217,265.02662993572085,162.36877869605144,73.0,65.0,2722.5
2218,261.4025655536691,162.23813117021945,73.0,64.0,2650.5
2219,258.1196630658436,162.28510802469137,72.0,64.0,2592.0
2220,254.43513321721178,162.17631120572867,70.0,62.0,2583.5
2221,250.2232368369924,162.40904086522892,71.0,62.0,2573.5
2222,246.79271194506762,163.02073560405194,70.0,57.0,2451.5
2223,242.8690138945096,161.95629299878593,69.0,63.0,2471.0
2224,239.34590175011823,161.5849719575647,68.0,63.0,2466.5
2225,235.48020791683328,161.2032520325203,69.0,66.0,2501.0
2226,232.10961834101997,159.97847737450704,68.0,67.0,2493.5
2227,228.16742259909287,159.13370143955828,67.0,68.0,2535.5
2228,224.95718344155844,158.79525162337663,64.0,68.0,2464.0
2229,221.792315042315,158.6053781053781,63.0,68.0,2442.0
2230,218.85228785649218,158.03692803587694,60.0,69.0,2378.5
2231,215.45901282887584,158.20055084438644,58.0,66.0,2299.5
2232,212.3171027682973,158.33219567690557,55.0,64.0,2197.5
2233,208.85743519781718,158.08693345460057,57.0,65.0,2199.0
2234,206.42713980614423,157.76720880565136,53.0,63.0,2029.0
2235,203.45455309139783,157.6652385752688,53.0,63.0,1984.0
2236,201.18148853231799,157.40467772640739,50.0,61.0,1838.5
2237,198.08618253743995,158.32768201940283,51.0,60.0,1769.5
2238,191.25717787114843,159.45290616246498,67.0,59.0,1904.0
2239,188.5900780709556,161.63662417234903,64.0,43.0,1686.5
2240,185.53331221623904,162.2511878365537,60.0,39.0,1578.5
2241,182.70772465692784,161.8097609561753,57.0,37.0,1506.0
